epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.93051,1.46914,2.53011,2.48219,1.46922,0.08214,0.84224,0.43603,0.24624,0.04838,0.49606,0.15417,0.10923,1.14406,1.56745,2.33473,1.34509,0.00038,0.00038,0.00038
2,10.3412,1.16614,1.51914,1.1037,1.26541,0.54416,0.31989,0.44431,0.23311,0.17082,0.42156,0.11367,0.08227,1.14805,1.45745,2.4636,1.37146,0.00075426,0.00075426,0.00075426
3,14.8443,1.13795,1.39578,0.96627,1.26113,0.41869,0.64505,0.40146,0.18664,0.24601,0.39264,0.13023,0.09399,1.43342,1.42904,2.77614,1.88572,0.00110212,0.00110212,0.00110212
4,19.2384,1.10145,1.37233,0.91999,1.2334,0.40173,0.59597,0.38703,0.18084,0.2259,0.35583,0.11315,0.08258,1.40245,1.43637,3.95323,2.11095,0.00142358,0.00142358,0.00142358
5,23.5545,1.09279,1.35846,0.89102,1.22874,0.68558,0.58282,0.64771,0.42123,0.35582,0.36196,0.19054,0.14456,1.05674,1.37848,1.47313,1.30272,0.00171864,0.00171864,0.00171864
6,27.8393,1.04452,1.33453,0.84782,1.2021,0.81484,0.72893,0.81387,0.5984,0.6721,0.4312,0.43746,0.32903,0.95698,1.16056,0.92854,1.27206,0.00167,0.00167,0.00167
7,32.0768,1.02104,1.31801,0.81459,1.19708,0.87073,0.68482,0.80865,0.61205,0.92772,0.48373,0.50838,0.37964,0.8746,1.18351,0.79616,1.1322,0.001604,0.001604,0.001604
8,36.3768,0.98748,1.31964,0.76333,1.15451,0.89287,0.70289,0.8393,0.64141,0.86147,0.46327,0.50082,0.38172,0.83735,1.10036,0.74113,1.14342,0.001538,0.001538,0.001538
9,40.7083,0.96485,1.28108,0.75407,1.15399,0.89767,0.69763,0.84023,0.63909,0.82187,0.48116,0.48963,0.37138,0.85989,1.1175,0.75237,1.14895,0.001472,0.001472,0.001472
10,44.9623,0.96069,1.2714,0.74948,1.1488,0.90981,0.76161,0.86265,0.66363,0.94178,0.46976,0.50613,0.38598,0.79744,1.11646,0.65197,1.0593,0.001406,0.001406,0.001406
11,49.1988,0.94223,1.24992,0.73067,1.14866,0.92419,0.76687,0.86673,0.6617,0.90277,0.47853,0.507,0.38115,0.81129,1.09206,0.59236,1.07347,0.00134,0.00134,0.00134
